,四半期,会員数,インターネット広告媒体費,IT市況,リード営業利益
2017-1,1,64000000,1220600000000,14989100000000,56000000
2017-2,2,65000000,1220600000000,14989100000000,105000000
2017-3,3,66000000,1220600000000,14989100000000,38000000
2017-4,4,68000000,1448000000000,17515800000000,135000000
2018-1,1,69000000,1448000000000,17515800000000,43000000
2018-2,2,70000000,1448000000000,17515800000000,80000000
2018-3,3,72000000,1448000000000,17515800000000,89000000
2018-4,4,73000000,1663000000000,17939400000000,65000000
2019-1,1,74000000,1663000000000,17939400000000,49000000
2019-2,2,75000000,1663000000000,17939400000000,43000000
2019-3,3,76000000,1663000000000,17939400000000,58000000
2019-4,4,78000000,1756700000000,17116200000000,137000000
2020-1,1,80000000,1756700000000,17116200000000,67000000
2020-2,2,87000000,1756700000000,17116200000000,128000000
2020-3,3,91000000,1756700000000,17116200000000,120000000
2020-4,4,93000000,2157100000000,19316700000000,150000000
2021-1,1,96000000,2157100000000,19316700000000,153000000
2021-2,2,97000000,2157100000000,19316700000000,214000000
2021-3,3,99000000,2157100000000,19316700000000,250000000
2021-4,4,101000000,2480100000000,20096200000000,187000000
2022-1,1,104000000,2480100000000,20096200000000,215000000
2022-2,2,105000000,2480100000000,20096200000000,217000000
2022-3,3,108000000,2480100000000,20096200000000,262000000
2022-4,4,110000000,2529702000000,21371600000000,238000000
2023-1,1,113000000,2529702000000,21371600000000,234000000
2023-2,2,115000000,2529702000000,21371600000000,268000000
2023-3,3,117000000,2529702000000,21371600000000,263000000
2023-4,4,117000000,2605593060000,22311950400000,
2024-1,1,117000000,2605593060000,22311950400000,
2024-2,2,117000000,2605593060000,22311950400000,
2024-3,3,117000000,2605593060000,22311950400000,
2024-4,4,117000000,2683760851800,23293676217600,
